,ID,Behörde/Abteilung,Bezeichnung,Besoldung,Entgelt,PLZ,Ort,Entfernung,Eingestellt,Frist
45,1012780,Landkreis Hildesheim,Sozialarbeiterin/Sozialarbeiter bzw. Sozialpädagogin/Sozialpädagoge (m/w/d) für die Bezirkssozialarbeit,A10,TVöD-SuE S 14,31134,Hildesheim,,02.09.2023,23.09.2023
46,1011226,LWL-Römermuseum Haltern am See,Verwaltungsangestellte/n (w/m/d),,TVöD-VKA E 7,45721,Haltern am See,,02.09.2023,25.09.2023
47,1010066,Landesbetrieb Liegenschafts- und Baubetreuung,Ingenieur Versorgungstechnik / Energietechnik / TGA (m/w/d),,TV-L E 10 - TV-L E 11,55122,Mainz,,02.09.2023,17.09.2023
48,1010064,Landesbetrieb Liegenschafts- und Baubetreuung,Architekt / Bauingenieur / Facility Manager / Wirtschaftsingenieur (m/w/d),,TV-L E 10 - TV-L E 11,55122,Mainz,,02.09.2023,17.09.2023
49,1010034,Landesbetrieb Liegenschafts- und Baubetreuung,Technischer Systemplaner (m/w/d),,TV-L E 5 - TV-L E 6,55122,Mainz,,02.09.2023,17.09.2023
50,1017475,IT-Verbund Gifhorn,Beschäftigte für den Client Service (m/w/d),,TVöD-VKA E 10,38518,Gifhorn,,01.09.2023,15.09.2023
51,1017474,Stadt Königsbrunn,Sachbearbeiter (m/w/d) im Bereich Entwässerung/Verwaltung,,TVöD-VKA E 8,86343,Königsbrunn,,01.09.2023,03.10.2023
52,1017473,Stadt Königsbrunn,Ingenieur (m/w/d) im Bereich Wasserversorgung / Abwasserentsorgung,,TVöD-VKA E 1 - TVöD-VKA E 11,86343,Königsbrunn,,01.09.2023,03.10.2023
53,1017472,Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,Kauffrau / Kaufmann für Büromanagement (w/m/d),,,10317,Berlin,,01.09.2023,31.10.2023
54,1017471,Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,Chemielaborant / Chemielaborantin (w/m/d),,,10317,Berlin,,01.09.2023,31.10.2023
